country_code,year,Current US Dollars
ITA,2012,2090000000000.0
ITA,2011,2290000000000.0
ITA,2010,2140000000000.0
ITA,2009,2200000000000.0
ITA,2008,2410000000000.0
ITA,2007,2210000000000.0
ITA,2006,1950000000000.0
ITA,2005,1860000000000.0
ITA,2004,1810000000000.0
ITA,2003,1580000000000.0
ITA,2002,1280000000000.0
ITA,2001,1170000000000.0
ITA,2000,1150000000000.0
ITA,1999,1250000000000.0
ITA,1998,1270000000000.0
ITA,1997,1240000000000.0
ITA,1996,1310000000000.0
ITA,1995,1170000000000.0
ITA,1994,1100000000000.0
ITA,1993,1060000000000.0
ITA,1992,1320000000000.0
ITA,1991,1250000000000.0
ITA,1990,1180000000000.0
IND,2014,2040000000000.0
IND,2013,1860000000000.0
IND,2012,1830000000000.0
IND,2011,1820000000000.0
IND,2010,1680000000000.0
IND,2009,1340000000000.0
IND,2008,1200000000000.0
IND,2007,1220000000000.0
IND,2006,940000000000.0
IND,2005,820000000000.0
IND,2004,709000000000.0
IND,2003,608000000000.0
IND,2002,515000000000.0
IND,2001,485000000000.0
IND,2000,468000000000.0
IND,1999,459000000000.0
IND,1998,421000000000.0
IND,1997,416000000000.0
IND,1996,393000000000.0
IND,1995,360000000000.0
IND,1994,327000000000.0
IND,1993,279000000000.0
IND,1992,288000000000.0
IND,1991,270000000000.0
IND,1990,321000000000.0
GBR,2014,3060000000000.0
GBR,2013,2780000000000.0
GBR,2012,2710000000000.0
GBR,2011,2660000000000.0
GBR,2010,2490000000000.0
GBR,2009,2410000000000.0
GBR,2008,2930000000000.0
GBR,2007,3090000000000.0
GBR,2006,2710000000000.0
GBR,2005,2540000000000.0
GBR,2004,2420000000000.0
GBR,2003,2050000000000.0
GBR,2002,1790000000000.0
GBR,2001,1650000000000.0
GBR,2000,1670000000000.0
GBR,1999,1690000000000.0
GBR,1998,1650000000000.0
GBR,1997,1560000000000.0
GBR,1996,1420000000000.0
GBR,1995,1340000000000.0
GBR,1994,1140000000000.0
GBR,1993,1060000000000.0
GBR,1992,1180000000000.0
GBR,1991,1140000000000.0
GBR,1990,1090000000000.0
FRA,2014,2860000000000.0
FRA,2013,2810000000000.0
FRA,2012,2680000000000.0
FRA,2011,2870000000000.0
FRA,2010,2650000000000.0
FRA,2009,2700000000000.0
FRA,2008,2930000000000.0
FRA,2007,2660000000000.0
FRA,2006,2320000000000.0
FRA,2005,2200000000000.0
FRA,2004,2120000000000.0
FRA,2003,1840000000000.0
FRA,2002,1500000000000.0
FRA,2001,1380000000000.0
FRA,2000,1370000000000.0
FRA,1999,1490000000000.0
FRA,1998,1500000000000.0
FRA,1997,1450000000000.0
FRA,1996,1610000000000.0
FRA,1995,1600000000000.0
FRA,1994,1390000000000.0
FRA,1993,1320000000000.0
FRA,1992,1400000000000.0
FRA,1991,1270000000000.0
FRA,1990,1270000000000.0
DEU,2014,3890000000000.0
DEU,2013,3730000000000.0
DEU,2012,3530000000000.0
DEU,2011,3750000000000.0
DEU,2010,3400000000000.0
DEU,2009,3410000000000.0
DEU,2008,3750000000000.0
DEU,2007,3430000000000.0
DEU,2006,2990000000000.0
DEU,2005,2850000000000.0
DEU,2004,2810000000000.0
DEU,2003,2500000000000.0
DEU,2002,2080000000000.0
DEU,2001,1950000000000.0
DEU,2000,1950000000000.0
DEU,1999,2190000000000.0
DEU,1998,2240000000000.0
DEU,1997,2210000000000.0
DEU,1996,2500000000000.0
DEU,1995,2590000000000.0
DEU,1994,2210000000000.0
DEU,1993,2070000000000.0
DEU,1992,2130000000000.0
DEU,1991,1870000000000.0
DEU,1990,1770000000000.0
CHN,2014,10500000000000.0
CHN,2013,9570000000000.0
CHN,2012,8530000000000.0
CHN,2011,7550000000000.0
CHN,2010,6090000000000.0
CHN,2009,5100000000000.0
CHN,2008,4590000000000.0
CHN,2007,3550000000000.0
CHN,2006,2750000000000.0
CHN,2005,2290000000000.0
CHN,2004,1960000000000.0
CHN,2003,1660000000000.0
CHN,2002,1470000000000.0
CHN,2001,1340000000000.0
CHN,2000,1210000000000.0
CHN,1999,1090000000000.0
CHN,1998,1030000000000.0
CHN,1997,962000000000.0
CHN,1996,864000000000.0
CHN,1995,734000000000.0
CHN,1994,564000000000.0
CHN,1993,445000000000.0
CHN,1992,427000000000.0
CHN,1991,383000000000.0
CHN,1990,361000000000.0
CAN,2014,1810000000000.0
CAN,2013,1850000000000.0
CAN,2012,1830000000000.0
CAN,2011,1790000000000.0
CAN,2010,1620000000000.0
CAN,2009,1370000000000.0
CAN,2008,1550000000000.0
CAN,2007,1470000000000.0
CAN,2006,1320000000000.0
CAN,2005,1170000000000.0
CAN,2004,1030000000000.0
CAN,2003,896000000000.0
CAN,2002,761000000000.0
CAN,2001,739000000000.0
CAN,2000,745000000000.0
CAN,1999,678000000000.0
CAN,1998,634000000000.0
CAN,1997,655000000000.0
CAN,1996,631000000000.0
CAN,1995,606000000000.0
CAN,1994,580000000000.0
CAN,1993,579000000000.0
CAN,1992,594000000000.0
CAN,1991,613000000000.0
CAN,1990,596000000000.0
